author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author,perfect_overlap_author,lifespan,earliest_start,latest_end,age_first_pub,latest_end_adj,time_from_last_pub,bad_age_first_pub,bad_lifespan
https://openalex.org/A5103278465,Gurpreet Singh,https://openalex.org/I79161377,Punjabi University,2016,2023,0000-0002-4354-269X,,,,,,,0000-0002-4354-269X,,Weill Cornell Medicine,Q50568364,41,848,education,7,0,7,False,0,0,1,0,,2016,2023,,2023.0,,0,0
https://openalex.org/A5037852998,Nathaniel A. Lynd,https://openalex.org/I86519309,The University of Texas at Austin,2014,2025,0000-0003-3010-5068,HEALTHSOUTH REHABILITATION HOSPITAL OF AUSTIN,30.2731283970001,-97.734112941,1.0863629860892785,,,0000-0003-3010-5068,,University of Texas at Austin,Q88675939,171,7274,education,11,0,11,False,0,1,0,0,,2008,2025,,2025.0,,0,0
https://openalex.org/A5037852998,Nathaniel A. Lynd,https://openalex.org/I154570441,"University of California, Santa Barbara",2008,2017,0000-0003-3010-5068,SANTA BARBARA COTTAGE HOSPITAL,34.429466689,-119.723809039,2.5384727841850334,,,0000-0003-3010-5068,,University of Texas at Austin,Q88675939,171,7274,education,9,0,9,False,0,1,0,0,,2008,2025,,2025.0,,0,0
https://openalex.org/A5114163117,Lian‐Pin Hwang,https://openalex.org/I16733864,National Taiwan University,1982,2018,,,,,,,,,,,,91,2178,education,36,1,36,False,0,0,1,0,,1982,2018,,2018.0,,0,0
https://openalex.org/A5103472574,Anthony C. Santucci,https://openalex.org/I30002821,Manhattanville College,1995,2010,,NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION,41.0275795110001,-73.7539098829999,3.618239812945633,,,,,,,36,1067,education,15,0,15,False,0,0,1,0,,1995,2010,,2010.0,,0,0
https://openalex.org/A5027512600,Jean‐Michel Chardigny,https://openalex.org/I177064439,Université de Bourgogne,2003,2013,0000-0001-5446-6517,,,,,1961.0,,0000-0001-5446-6517,,National Institute for Agricultural Research,Q42774511,373,6036,education,10,1,10,False,0,0,1,0,,2003,2013,42.0,2013.0,,0,0
https://openalex.org/A5088104477,A. Mareno,https://openalex.org/I130769515,Pennsylvania State University,2008,2021,0000-0002-8249-6753,MOUNT NITTANY MEDICAL CENTER,40.8185483410001,-77.842589845,3.158028882678651,,,,,,,18,94,education,13,0,13,False,0,0,1,0,,2008,2021,,2021.0,,0,0
https://openalex.org/A5062569186,Maryam M. Shanechi,https://openalex.org/I1174212,University of Southern California,2014,2025,0000-0002-0544-7720,LOS ANGELES AMBULATORY CARE CENTER,34.052015037,-118.238420471,0.4851399769279164,,,0000-0002-0544-7720,,,Q88892132,113,3260,education,11,0,11,False,0,0,1,0,,1997,2025,,2025.0,,0,0
https://openalex.org/A5062569186,Maryam M. Shanechi,https://openalex.org/I63966007,Massachusetts Institute of Technology,1997,2013,0000-0002-0544-7720,SPAULDING HOSPITAL FOR CONTINUING MED CARE CAMBRIDGE,42.3753221040001,-71.106943456,0.1122862784625716,,,0000-0002-0544-7720,,,Q88892132,113,3260,education,16,0,16,False,0,0,1,0,,1997,2025,,2025.0,,0,0
https://openalex.org/A5020050163,Chen Hui Zhang,https://openalex.org/I99065089,Tsinghua University,2011,2022,,,,,,,,,,,Q16075750,5,100,education,11,0,11,False,0,0,0,0,,2011,2022,,2022.0,,0,0
https://openalex.org/A5018246309,M. A. G. Maia,https://openalex.org/I122140584,Universidade Federal do Rio de Janeiro,2003,2013,0000-0001-9856-9307,,,,,,,0000-0001-9856-9307,,,Q113543979,381,38529,education,10,1,10,False,0,0,0,0,,2003,2013,,2013.0,,0,0
https://openalex.org/A5016836431,Muhammad I. Qureshi,https://openalex.org/I28022161,King Saud University,1986,2012,0000-0002-0661-4156,,,,,,,0000-0001-5700-115X,,,Q59994661,37,119,education,26,0,26,False,0,0,0,0,,1986,2024,,2024.0,,0,0
