author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author
https://openalex.org/A5104436170,Darrell J. R. Evans,https://openalex.org/I79510175,Cardiff University,1999,2016,0000-0001-9425-6303,,,,,,,0000-0001-9425-6303,,University of Newcastle,Q91833376,113,4922,education,17,0,17,False,0,1,1
https://openalex.org/A5104436170,Darrell J. R. Evans,https://openalex.org/I56590836,Monash University,2013,2022,0000-0001-9425-6303,,,,,,,0000-0001-9425-6303,,University of Newcastle,Q91833376,113,4922,education,9,0,9,False,0,1,1
https://openalex.org/A5073663465,Eun‐Sook Cho,https://openalex.org/I4402554120,Rutgers New Jersey Medical School,1979,2009,,MOUNT CARMEL GUILD BEHAVIORAL HEALTHCARE SYSTEM,40.7371696590001,-74.170737958,0.2169961266005687,,,,,,,9,3158,education,30,0,30,False,1,1,1
https://openalex.org/A5073663465,Eun‐Sook Cho,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",1979,2009,,CHILDREN'S SPECIALIZED HOSPITAL,40.494825098,-74.451690392,0.9569060123417374,,,,,,,9,3158,education,30,0,30,False,1,1,1
https://openalex.org/A5066831235,Kévin Baudry,https://openalex.org/I277688954,Université Paris-Saclay,2017,2024,0000-0001-5680-9931,,,,,,,,,,,14,185,education,7,1,7,False,1,1,0
https://openalex.org/A5066831235,Kévin Baudry,https://openalex.org/I204730241,Université Paris Cité,2017,2024,0000-0001-5680-9931,,,,,,,,,,,14,185,education,7,1,7,False,1,1,0
https://openalex.org/A5025704489,Edward F. Di Carlo,https://openalex.org/I205783295,Cornell University,1988,2003,,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,1982-12-21T00:00:00Z,,,,,Q325497,3,28,education,15,0,15,False,1,1,0
https://openalex.org/A5025704489,Edward F. Di Carlo,https://openalex.org/I1281539108,Hospital for Special Surgery,1988,2003,,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4212931995566836,1982-12-21T00:00:00Z,,,,,Q325497,3,28,healthcare,15,0,15,False,1,1,0
https://openalex.org/A5016083141,Michaël Ménard,https://openalex.org/I159129438,Université du Québec à Montréal,2013,2024,0000-0002-0947-0258,,,,,,,0000-0002-0947-0258,,Université du Québec à Montréal,Q123653388,140,751,education,11,1,11,False,0,1,0
https://openalex.org/A5016083141,Michaël Ménard,https://openalex.org/I5023651,McGill University,2004,2010,0000-0002-0947-0258,,,,,,,0000-0002-0947-0258,,Université du Québec à Montréal,Q123653388,140,751,education,6,1,6,False,0,1,0
