,author_id,distance_km,date_of_birth,date_of_death,appoint_len,lifespan,earliest_start,latest_end_adj,age_first_pub,time_from_last_pub,n_appointments,total_works,total_citations
52,https://openalex.org/A5002911249,0.298713127695244,,,2.0,,1987,1995.0,,,2,5,115
53,https://openalex.org/A5002953341,3.058762917886928,,,2.4210526315789473,,1894,2025.0,,,38,150,3837
54,https://openalex.org/A5002985641,,,,7.166666666666667,,1968,2023.0,,,6,80,2407
55,https://openalex.org/A5003061540,1.33879640220988,1950.0,,2.8,,2009,2013.0,59.0,,5,9,250
56,https://openalex.org/A5003086832,4.602820788088144,,,0.0,,2003,2003.0,,,1,1,12
57,https://openalex.org/A5003151750,4.602820788088144,,,0.0,,2002,2002.0,,,1,1,16
58,https://openalex.org/A5003197574,2.386029930360195,,,3.5,,1998,2026.0,,,10,39,4627
59,https://openalex.org/A5003221932,3.399438415764952,,,4.0,,1999,2026.0,,,8,117,2037
60,https://openalex.org/A5003247919,2.2312651653343387,1945.0,,12.533333333333333,,1970,2026.0,25.0,,15,569,36905
61,https://openalex.org/A5003255104,1.1005140840215648,,,0.8,,2018,2019.0,,,5,5,140
62,https://openalex.org/A5003269978,5.335933252796454,1963.0,,0.8,,1996,2011.0,33.0,,5,17,412
63,https://openalex.org/A5003305524,1.9373192623941105,1962.0,,2.25,,1996,2012.0,34.0,,8,17,753
64,https://openalex.org/A5003394285,2.7227984428423704,,,3.5238095238095237,,1966,2025.0,,,21,162,2486
65,https://openalex.org/A5003483321,1.662731214817677,,,1.6666666666666667,,2005,2024.0,,,6,126,6054
66,https://openalex.org/A5003522988,1.101283529084265,,,7.0,,1991,2025.0,,,10,29,474
67,https://openalex.org/A5003553739,4.602820788088144,,,0.0,,2007,2007.0,,,1,1,32
68,https://openalex.org/A5003625876,0.9760596758265627,,,6.5,,2009,2022.0,,,2,28,2604
69,https://openalex.org/A5003640922,0.8725353439584254,,,9.0,,2016,2025.0,,,1,14,67
70,https://openalex.org/A5003661501,,,,0.0,,2001,2001.0,,,1,3,361
71,https://openalex.org/A5003668840,0.1122862784625716,,,1.0,,2011,2012.0,,,1,3,119
72,https://openalex.org/A5003686226,0.7634153060970891,1955.0,,2.4,,1992,2024.0,37.0,,10,144,2324
73,https://openalex.org/A5003694235,0.9941568999604742,,,3.0,,2010,2022.0,,,2,11,676
74,https://openalex.org/A5003697468,2.166054876888403,,,1.8,,2017,2025.0,,,5,59,610
75,https://openalex.org/A5003702843,1.4098695576900624,,,3.8214285714285716,,1992,2025.0,,,28,62,9702
76,https://openalex.org/A5003773064,2.2409322327015464,,,0.0,,2003,2003.0,,,2,1,7
77,https://openalex.org/A5003776110,0.544931951381088,,,6.083333333333333,,1949,2025.0,,,24,194,3787
78,https://openalex.org/A5003817127,1.4635618267602961,,,0.2,,1998,2021.0,,,25,83,6897
79,https://openalex.org/A5003826098,1.8206783921741203,,,2.4583333333333335,,2005,2025.0,,,24,205,6966
80,https://openalex.org/A5003850109,1.8565903393567353,1939.0,,7.875,,1966,2020.0,27.0,,8,154,8870
81,https://openalex.org/A5003896222,1.1182763411252934,1946.0,,5.909090909090909,,1980,2024.0,34.0,,11,90,4697
82,https://openalex.org/A5003914133,2.470124999437518,,,2.2666666666666666,,2010,2025.0,,,15,61,670
83,https://openalex.org/A5003980305,2.6307269301072194,,,0.6785714285714286,,2004,2018.0,,,28,34,10882
84,https://openalex.org/A5003985174,1.7074688541103218,,,0.0,,2018,2018.0,,,3,2,51
85,https://openalex.org/A5004013310,0.6466814634174017,,,0.0,,2004,2025.0,,,4,9,68
86,https://openalex.org/A5004153741,1.266385629181068,,,2.0,,2015,2023.0,,,8,18,340
87,https://openalex.org/A5004161692,0.8725353439584254,,,0.0,,1982,1982.0,,,1,1,51
88,https://openalex.org/A5004231993,1.0034345522960904,,,0.16666666666666666,,1960,2004.0,,,6,9,242
89,https://openalex.org/A5004305089,0.1122862784625716,,,2.0,,2023,2025.0,,,1,8,70
90,https://openalex.org/A5004483696,1.5001994050773817,1986.0,,1.2,,2017,2023.0,31.0,,5,8,677
91,https://openalex.org/A5004620923,1.7856245949997882,1952.0,,4.7317073170731705,,1981,2025.0,29.0,,82,610,80619
92,https://openalex.org/A5004666897,0.1122862784625716,,,2.2,,1998,2009.0,,,5,13,305
93,https://openalex.org/A5004722743,1.2008168771183587,1947.0,,3.3333333333333335,,1997,2025.0,50.0,,15,83,2634
94,https://openalex.org/A5004733800,4.602820788088144,1943.0,,17.4,,1969,2020.0,26.0,,5,151,2683
95,https://openalex.org/A5004916033,1.536880186107294,1942.0,,3.9302325581395348,,1968,2024.0,26.0,,43,339,58400
96,https://openalex.org/A5004947346,0.1122862784625716,1953.0,,0.0,,1984,1984.0,31.0,,1,2,506
97,https://openalex.org/A5004979515,3.2145089287528585,,,7.0,,1966,1984.0,,,3,33,508
98,https://openalex.org/A5004994618,4.602820788088144,,,12.25,,1980,2022.0,,,4,112,3703
99,https://openalex.org/A5005039503,2.501889390555594,,,9.666666666666666,,1989,2018.0,,,3,2,0
100,https://openalex.org/A5005091829,58.790568782741225,,,2.6711409395973154,,1984,2025.0,,,149,706,89804
101,https://openalex.org/A5005216685,0.1122862784625716,,,0.0,,2010,2010.0,,,1,2,24
102,https://openalex.org/A5005228310,1.1077168721386215,,,4.411764705882353,,1966,2018.0,,,17,189,2374
103,https://openalex.org/A5005321550,0.1122862784625716,,,0.0,,2001,2001.0,,,1,1,184
104,https://openalex.org/A5005334841,0.1122862784625716,,,0.0,,2000,2000.0,,,1,1,26
105,https://openalex.org/A5005369193,1.456689413198411,,,7.222222222222222,,1979,2025.0,,,9,85,10938
