 author_id,name,inst_1_id,inst_1_name,year_start_1,year_end_1,MIT_ID,MIT_year_start,MIT_year_end,current_institutions,past_institutions,orcid,status,message
https://openalex.org/A5063590702,Giuseppe Romano,https://openalex.org/I63966007,Massachusetts Institute of Technology,2011,2022,https://openalex.org/I63966007,2011,2022,,University of Catania; Polytechnic University of Turin; University of Hohenheim; Boston College; Heidenhain (Germany); Forestry Research Centre; Georgia Institute of Technology; University of Rome Tor Vergata; University of Bremen; Institute for Soldier Nanotechnologies; Italian Society of Physiotherapy; Massachusetts Institute of Technology; Universidad de Oviedo; Azienda Unità Sanitaria Locale Della Romagna,0000-0003-0026-8237,,
https://openalex.org/A5071694286,Thomas D. Ketcham,https://openalex.org/I63966007,Massachusetts Institute of Technology,1982,1982,https://openalex.org/I63966007,1982,1982,Corning (United States),Massachusetts Institute of Technology; University of Utah,,,
https://openalex.org/A5032815236,Margaret Dushko,https://openalex.org/I63966007,Massachusetts Institute of Technology,2018,2018,https://openalex.org/I63966007,2018,2018,McGovern Institute for Brain Research; Massachusetts Institute of Technology,,,,
https://openalex.org/A5054773003,Sara Matthews,https://openalex.org/I63966007,Massachusetts Institute of Technology,2017,2017,https://openalex.org/I63966007,2017,2017,McGill University; Bellevue Hospital Center; Université de Montréal,Massachusetts Institute of Technology; Polytechnique Montréal; Institut National de la Recherche Agronomique; United Kingdom Atomic Energy Authority; Laboratoire de Chimie,0000-0003-2657-2253,,
https://openalex.org/A5111817931,Michael K. Qin,https://openalex.org/I63966007,Massachusetts Institute of Technology,2003,2006,https://openalex.org/I63966007,2003,2006,Office of Naval Research,University of Connecticut; Harvard–MIT Division of Health Sciences and Technology; Naval Submarine Medical Research Laboratory; United States Navy; Worcester Polytechnic Institute; Massachusetts Institute of Technology; United States Department of the Navy; Moscow Institute of Thermal Technology; IIT@MIT; Johnson Space Center,,,
https://openalex.org/A5112005299,Sofie Hashmi,https://openalex.org/I63966007,Massachusetts Institute of Technology,1991,1991,https://openalex.org/I63966007,1991,1991,Massachusetts Institute of Technology; Whitehead Institute for Biomedical Research,Vanderbilt University,,,
https://openalex.org/A5044471012,Dean S. Edmonds,https://openalex.org/I63966007,Massachusetts Institute of Technology,1957,1957,https://openalex.org/I63966007,1957,1957,Diagnologix (United States),Western University; Massachusetts Institute of Technology; Boston University,,,
https://openalex.org/A5103535681,Kyosung Hwang,https://openalex.org/I63966007,Massachusetts Institute of Technology,2009,2009,https://openalex.org/I63966007,2009,2009,,Hanyang University; Massachusetts Institute of Technology,,,
https://openalex.org/A5015485130,L. Parad,https://openalex.org/I63966007,Massachusetts Institute of Technology,2010,2012,https://openalex.org/I63966007,2010,2012,Massachusetts Institute of Technology; MIT Lincoln Laboratory,CTS Corporation (United States),,,
https://openalex.org/A5069075055,R. Rox Anderson,https://openalex.org/I63966007,Massachusetts Institute of Technology,2004,2016,https://openalex.org/I63966007,2004,2016,Harvard University; Massachusetts General Hospital,"University of Washington; Military Health System; International Science and Technology Institute; The Royal Melbourne Hospital; Johnson Space Center; Long Island University; Brigham and Women's Hospital; Deaconess Hospital; Sciences Po Grenoble; American University; University of Missouri; New Haven Public Schools; Shriners Hospitals for Children - Boston; Harvard University Press; University of California, Davis; St Vincent’s Private Hospital Sydney; Society For Investigative Dermatology; Massachusetts Institute of Technology; Harvard–MIT Division of Health Sciences and Technology; University of Lübeck; Ball (France); Massachusetts Eye and Ear Infirmary; Marymount University; McMaster University; Royal College of Obstetricians and Gynaecologists",0000-0003-4966-3035,,
https://openalex.org/A5111458376,Kenji Mase,https://openalex.org/I63966007,Massachusetts Institute of Technology,1989,1989,https://openalex.org/I63966007,1989,1989,,Massachusetts Institute of Technology; Nagoya University; Research Organization of Information and Systems; Kyoto Seika University; Meijo University; IEEE Computer Society; NTT (Japan); Advanced Telecommunications Research Institute International; Information Processing Society of Japan; Japan Patent Office; Japan Advanced Institute of Science and Technology; Kyoto University; NTT (United States); Interface (United Kingdom); Interface (United States),,,
https://openalex.org/A5062132898,Carlo C. Maley,https://openalex.org/I63966007,Massachusetts Institute of Technology,1995,1997,https://openalex.org/I63966007,1995,1997,Biocom; Arizona State University,"Cancer Research Center; The Wistar Institute; Brigham and Women's Hospital; Illumina (United States); UCSF Helen Diller Family Comprehensive Cancer Center; Translational Genomics Research Institute; Chungnam National University Hospital; Woods Hole Oceanographic Institution; ORCID; Massachusetts Institute of Technology; University of Pennsylvania; Phoenix (United States); Korea Research Institute of Bioscience and Biotechnology; University of California, San Francisco; Norwegian Womens Public Health Association; University of Arizona; Fred Hutch Cancer Center; Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa; California University of Pennsylvania; University of Washington; Korea University; Institute for Advanced Study; University of New Mexico; Harvard University; Institute of Cancer Research; Institute of Cancer Research; Molecular Oncology (United States); Johns Hopkins University",0000-0002-0745-7076,,
https://openalex.org/A5103057722,Susumu Ogawa,https://openalex.org/I63966007,Massachusetts Institute of Technology,2016,2016,https://openalex.org/I63966007,2016,2016,,"Massachusetts Institute of Technology; Ministry of Education, Science and Culture; Kobe University",0000-0003-4169-0477,,
https://openalex.org/A5110415660,H Heimann,https://openalex.org/I63966007,Massachusetts Institute of Technology,1978,1978,https://openalex.org/I63966007,1978,1978,German Center for Infection Research; University of Tübingen,Freie Universität Berlin; University Children's Hospital Tübingen; Hôpital de Cery; Goethe Institut; Bayer (Germany); Massachusetts Institute of Technology; Klinik und Poliklinik für Psychiatrie und Psychotherapie; Institut Universitaire de Recherche Clinique; University Psychiatric Hospital; Universitätsklinikum Tübingen; Merck (Germany),,,
https://openalex.org/A5030380494,Brian D. Follstad,https://openalex.org/I63966007,Massachusetts Institute of Technology,1998,2002,https://openalex.org/I63966007,1998,2002,,University of Minnesota; Amgen (United States); Massachusetts Institute of Technology,,,
https://openalex.org/A5026898960,Barbara Valent,https://openalex.org/I63966007,Massachusetts Institute of Technology,1984,1984,https://openalex.org/I63966007,1984,1984,Kansas State University; Plant (United States),Purdue University West Lafayette; Ghent University; University of Colorado Boulder; Massachusetts Institute of Technology; Pennsylvania State University; University of Freiburg; Wilmington University; DuPont (United States); Experimental Station; Central Research Institute; University of Colorado System; Arkansas Agricultural Experiment Station; Whitehead Institute for Biomedical Research; Swedish Forest Agency,0000-0002-5088-3345,,
https://openalex.org/A5108395501,J. P. Hill,https://openalex.org/I63966007,Massachusetts Institute of Technology,1989,1997,https://openalex.org/I63966007,1989,1997,Brookhaven National Laboratory,Massachusetts Institute of Technology; University of Helsinki; RIKEN BNL Research Center; Sandia National Laboratories; National Institute of Standards and Technology; Helsinki Institute of Physics; Virginia Commonwealth University,,,
https://openalex.org/A5008274210,A. Cwikla,https://openalex.org/I63966007,Massachusetts Institute of Technology,2003,2003,https://openalex.org/I63966007,2003,2003,Gdańsk University of Technology; University of Gdańsk,Massachusetts Institute of Technology,,,
