Processing institution: I63966007
[1975-1984] Total so far: 2800, Requests made: 91, avg 0.78 req/sec
[2015-2024] Total so far: 1600, Requests made: 91, avg 0.78 req/sec
[2025-2025] Total so far: 2000, Requests made: 94, avg 0.79 req/sec
[1955-1964] Total so far: 3000, Requests made: 94, avg 0.79 req/sec
[1965-1974] Total so far: 2800, Requests made: 95, avg 0.79 req/sec
[1995-2004] Total so far: 2600, Requests made: 95, avg 0.79 req/sec
[2005-2014] Total so far: 2000, Requests made: 96, avg 0.79 req/sec
[1985-1994] Total so far: 2600, Requests made: 98, avg 0.79 req/sec
[1975-1984] Total so far: 3000, Requests made: 98, avg 0.79 req/sec
[2025-2025] Total so far: 2200, Requests made: 99, avg 0.79 req/sec
[1955-1964] Total so far: 3200, Requests made: 101, avg 0.79 req/sec
[2015-2024] Total so far: 1800, Requests made: 104, avg 0.78 req/sec
[1965-1974] Total so far: 3000, Requests made: 104, avg 0.78 req/sec
[1995-2004] Total so far: 2800, Requests made: 104, avg 0.78 req/sec
[2005-2014] Total so far: 2200, Requests made: 104, avg 0.78 req/sec
[1985-1994] Total so far: 2800, Requests made: 107, avg 0.79 req/sec
[1955-1964] Total so far: 3400, Requests made: 107, avg 0.79 req/sec
[1975-1984] Total so far: 3200, Requests made: 108, avg 0.79 req/sec
[2025-2025] Total so far: 2400, Requests made: 108, avg 0.79 req/sec
[2015-2024] Total so far: 2000, Requests made: 109, avg 0.79 req/sec
[1965-1974] Total so far: 3200, Requests made: 111, avg 0.79 req/sec
[1995-2004] Total so far: 3000, Requests made: 111, avg 0.79 req/sec
[1985-1994] Total so far: 3000, Requests made: 114, avg 0.79 req/sec
[2005-2014] Total so far: 2400, Requests made: 114, avg 0.79 req/sec
[1955-1964] Total so far: 3600, Requests made: 114, avg 0.79 req/sec
[1975-1984] Total so far: 3400, Requests made: 115, avg 0.79 req/sec
[1965-1974] Total so far: 3400, Requests made: 117, avg 0.79 req/sec
[2025-2025] Total so far: 2600, Requests made: 118, avg 0.79 req/sec
[1995-2004] Total so far: 3200, Requests made: 118, avg 0.79 req/sec
